3,3.74153,
3,3.51217,
3,3.43439,
3,3.29212,
3,3.18349,
3,3.14839,
3,2.98075,
3,2.90743,
3,2.76435,
3,2.71736,
3,2.67872,
3,2.49044,
3,2.38605,
3,2.34335,
3,2.25353,
3,2.09992,
3,2.04822,
3,1.91092,
3,1.85346,
3,1.73776,
3,1.62858,
3,1.5671,
3,1.44979,
3,1.35974,
3,1.24904,
3,1.15113,
3,1.10655,
3,0.951351,
3,0.883021,
3,0.758278,
3,0.661376,
3,0.609796,
3,0.525651,
3,0.408209,

3.7354415  3.63408098 3.53137953 3.42796068 3.32425731 3.21708575
 3.11178556 3.00595275 2.89899146 2.79246414 2.690229   2.58437749
 2.48343632 2.37876461 2.28007542 2.17461384 2.06715928 1.96367562
 1.8566309  1.74655377 1.64477334 1.54106738 1.44050356 1.33768361
 1.2355661  1.12810978 1.02485495 0.92328288 0.82261328 0.72252385
 0.6197782  0.52136467 0.42033468 0.32510457
