-1.33963,0.544693,46.7781
-1.23593,0.535131,49.9093
-1.13052,0.522295,62.433
-1.02076,0.510405,68.7652
-0.914502,0.496815,77.9555
-0.810668,0.486652,78.9072
-0.702869,0.476672,79.054
-0.596826,0.464904,79.0598
-0.492147,0.455354,79.3062
-0.3908,0.444626,80.5571
-0.285542,0.436312,81.7823
-0.182918,0.424861,81.7287
-0.0805534,0.413759,82.3806
0.0224565,0.403182,83.4226
0.12511,0.393168,83.4418
0.227409,0.382696,83.4674
0.330328,0.370919,83.6853
0.43086,0.36229,83.7154
0.536389,0.350642,84.0394
0.639829,0.339756,84.487
0.742929,0.330732,85.3452
0.846999,0.323064,85.8016
0.948728,0.311973,87.0946
1.05313,0.303964,88.3626
1.15316,0.292339,88.9965
1.25965,0.284553,90.1424
1.36756,0.273896,91.5795
1.47315,0.261749,92.8592
1.57345,0.251941,93.2822
1.67299,0.238425,94.8635
1.7728,0.227864,95.6005
1.88197,0.217931,97.0151
1.98319,0.209079,97.4021
2.08731,0.199369,98.3169
2.18903,0.186635,98.9221
2.25557,0.184133,98.7843
